id,name,class,mass (g),mass (kg),fall,year,latitude,longitude,GeoLocation
3332,Asuka 880623,H5,12.66,0.01266,Found,1988,-72,26,"(-72.0, 26.0)"
4215,Asuka 881506,H3,12.67,0.01267,Found,1988,-72,26,"(-72.0, 26.0)"
4292,Asuka 881583,L6,12.68,0.01268,Found,1988,-72,26,"(-72.0, 26.0)"
4312,Asuka 881603,H6,12.68,0.01268,Found,1988,-72,26,"(-72.0, 26.0)"
4112,Asuka 881403,Eucrite,12.69,0.01269,Found,1988,-72,26,"(-72.0, 26.0)"
15349,MacAlpine Hills 88185,H5,12.7,0.0127,Found,1988,-84.21667,160.5,"(-84.21667, 160.5)"
13994,Lewis Cliff 88243,H5,12.7,0.0127,Found,1988,-84.28206,161.34472,"(-84.28206, 161.34472)"
14175,Lewis Cliff 88430,H5,12.7,0.0127,Found,1988,-84.25077,161.37561,"(-84.25077, 161.37561)"
4161,Asuka 881452,CK6,12.77,0.01277,Found,1988,-72,26,"(-72.0, 26.0)"
1112,Allan Hills 88068,H6,12.79,0.01279,Found,1988,-76.71667,159.33333,"(-76.71667, 159.33333)"
14212,Lewis Cliff 88468,H6,12.8,0.0128,Found,1988,-84.24813,161.42359,"(-84.24813, 161.42359)"
13986,Lewis Cliff 88233,H6,12.8,0.0128,Found,1988,-84.23615,161.49567,"(-84.23615, 161.49567)"
1113,Allan Hills 88069,H5,12.86,0.01286,Found,1988,-76.71667,159.33333,"(-76.71667, 159.33333)"
14399,Lewis Cliff 88662,H6,12.9,0.0129,Found,1988,-84.26649,161.41164,"(-84.26649, 161.41164)"
14189,Lewis Cliff 88444,H6,12.9,0.0129,Found,1988,-84.24913,161.41599,"(-84.24913, 161.41599)"
14124,Lewis Cliff 88375,H6,12.9,0.0129,Found,1988,-84.24076,161.43594,"(-84.24076, 161.43594)"
4300,Asuka 881591,H4,12.94,0.01294,Found,1988,-72,26,"(-72.0, 26.0)"
3407,Asuka 880698,H3,12.96,0.01296,Found,1988,-72,26,"(-72.0, 26.0)"
14356,Lewis Cliff 88618,H6,13,0.013,Found,1988,-84.2695,161.37171,"(-84.2695, 161.37171)"
3437,Asuka 880728,H4,13.01,0.01301,Found,1988,-72,26,"(-72.0, 26.0)"
4142,Asuka 881433,H4,13.01,0.01301,Found,1988,-72,26,"(-72.0, 26.0)"
4228,Asuka 881519,H6,13.06,0.01306,Found,1988,-72,26,"(-72.0, 26.0)"
4416,Asuka 881707,H4,13.07,0.01307,Found,1988,-72,26,"(-72.0, 26.0)"
4320,Asuka 881611,LL6,13.08,0.01308,Found,1988,-72,26,"(-72.0, 26.0)"
4037,Asuka 881328,LL3.2,13.09,0.01309,Found,1988,-72,26,"(-72.0, 26.0)"
4169,Asuka 881460,H3.9,13.1,0.0131,Found,1988,-72,26,"(-72.0, 26.0)"
14236,Lewis Cliff 88492,H6,13.1,0.0131,Found,1988,-84.24769,161.39357,"(-84.24769, 161.39357)"
14100,Lewis Cliff 88350,L6,13.1,0.0131,Found,1988,-84.25199,161.41068,"(-84.25199, 161.41068)"
13969,Lewis Cliff 88216,L6,13.1,0.0131,Found,1988,-84.24982,161.42381,"(-84.24982, 161.42381)"
1108,Allan Hills 88064,H5/6,13.2,0.0132,Found,1988,-76.69016,159.38525,"(-76.69016, 159.38525)"
14487,Lewis Cliff 88750,L6,13.2,0.0132,Found,1988,-84.28537,161.38651,"(-84.28537, 161.38651)"
14103,Lewis Cliff 88353,H5,13.2,0.0132,Found,1988,-84.25381,161.39349,"(-84.25381, 161.39349)"
14123,Lewis Cliff 88374,L4,13.2,0.0132,Found,1988,-84.23847,161.43369,"(-84.23847, 161.43369)"
14259,Lewis Cliff 88516,Martian (shergottite),13.2,0.0132,Found,1988,-84.24341,161.50155,"(-84.24341, 161.50155)"
4194,Asuka 881485,H4,13.22,0.01322,Found,1988,-72,26,"(-72.0, 26.0)"
1111,Allan Hills 88067,H6,13.22,0.01322,Found,1988,-76.71667,159.33333,"(-76.71667, 159.33333)"
4555,Asuka 881846,H5,13.23,0.01323,Found,1988,-72,26,"(-72.0, 26.0)"
3612,Asuka 880903,H4,13.24,0.01324,Found,1988,-72,26,"(-72.0, 26.0)"
4379,Asuka 881670,H4,13.3,0.0133,Found,1988,-72,26,"(-72.0, 26.0)"
4370,Asuka 881661,H6,13.32,0.01332,Found,1988,-72,26,"(-72.0, 26.0)"
4075,Asuka 881366,L6,13.33,0.01333,Found,1988,-72,26,"(-72.0, 26.0)"
4134,Asuka 881425,H5,13.37,0.01337,Found,1988,-72,26,"(-72.0, 26.0)"
4024,Asuka 881315,LL6,13.4,0.0134,Found,1988,-72,26,"(-72.0, 26.0)"
1107,Allan Hills 88063,H5/6,13.4,0.0134,Found,1988,-76.69154,159.29707,"(-76.69154, 159.29707)"
14437,Lewis Cliff 88700,LL6,13.4,0.0134,Found,1988,-84.27851,161.40118,"(-84.27851, 161.40118)"
14196,Lewis Cliff 88452,L3.4,13.4,0.0134,Found,1988,-84.24884,161.42585,"(-84.24884, 161.42585)"
4427,Asuka 881718,H6,13.46,0.01346,Found,1988,-72,26,"(-72.0, 26.0)"
3510,Asuka 880801,H4,13.47,0.01347,Found,1988,-72,26,"(-72.0, 26.0)"
14183,Lewis Cliff 88438,H6,13.5,0.0135,Found,1988,-84.28158,161.34122,"(-84.28158, 161.34122)"
14248,Lewis Cliff 88504,H5,13.5,0.0135,Found,1988,-84.2476,161.39109,"(-84.2476, 161.39109)"
14107,Lewis Cliff 88357,L6,13.5,0.0135,Found,1988,-84.27422,161.39633,"(-84.27422, 161.39633)"
13999,Lewis Cliff 88248,L6,13.5,0.0135,Found,1988,-84.23477,161.43281,"(-84.23477, 161.43281)"
13970,Lewis Cliff 88217,L6,13.5,0.0135,Found,1988,-84.24263,161.46527,"(-84.24263, 161.46527)"
14005,Lewis Cliff 88254,L3.4,13.5,0.0135,Found,1988,-84.23535,161.46533,"(-84.23535, 161.46533)"
4446,Asuka 881737,L3,13.57,0.01357,Found,1988,-72,26,"(-72.0, 26.0)"
4457,Asuka 881748,L4,13.57,0.01357,Found,1988,-72,26,"(-72.0, 26.0)"
